Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Hit2nd, Collide
E2,9,9,44.84,111893,2495.38,334289,26392,2046,1,0
E2,9,9,46.99,111893,2381.21,334289,26392,2046,1,0
E2,9,9,44.879,111893,2493.22,334289,26392,2046,1,0
B4,9,-14,66.258,152559,2302.5,488400,33389,3763,0,0
B4,9,-14,67.02,152559,2276.32,488400,33389,3763,0,0
B4,9,-14,67.07,152559,2274.62,488400,33389,3763,0,0

G5,9,-19,98.762,189432,1918.07,626597,43268,3489,3,0
G5,9,-19,85.757,189432,2208.94,626597,43268,3489,3,0
G5,9,-19,85.503,189432,2215.5,626597,43268,3489,3,0
C7,9,15,140.004,278404,1988.54,1085600,61075,6264,12,1
C7,9,15,139.898,278404,1990.05,1085600,61075,6264,12,1
C7,9,15,139.509,278404,1995.6,1085600,61075,6264,12,1

D7,9,5,237.911,471386,1981.35,1875497,116877,12917,46,5
D7,9,5,236.54,471386,1992.84,1875497,116877,12917,46,5
D7,9,5,244.648,471386,1926.79,1875497,116877,12917,46,5
C4,9,-10,250.562,644926,2573.92,1723417,108997,14158,40,2
C4,9,-10,251.048,644926,2568.94,1723417,108997,14158,40,2
C4,9,-10,243.174,644926,2652.12,1723417,108997,14158,40,2

B4,9,20,164.324,298845,1818.63,1374100,83434,8126,22,7
B4,9,20,163.278,298845,1830.28,1374100,83434,8126,22,7
B4,9,20,162.74,298845,1836.33,1374100,83434,8126,22,7
C7,9,-23,298.608,862773,2889.32,2118172,145477,17732,50,6
C7,9,-23,302.713,862773,2850.14,2118172,145477,17732,50,6
C7,9,-23,297.84,862773,2896.77,2118172,145477,17732,50,6

E3,9,0,211.717,425129,2008.01,1664401,102871,15293,35,3
E3,9,0,210.651,425129,2018.17,1664401,102871,15293,35,3
E3,9,0,209.98,425129,2024.62,1664401,102871,15293,35,3
F3,9,-5,124.981,332439,2659.92,910445,57651,7190,9,0
F3,9,-5,124.378,332439,2672.81,910445,57651,7190,9,0
F3,9,-5,124.247,332439,2675.63,910445,57651,7190,9,0

F1,9,5,54.129,166115,3068.87,360697,25434,4375,2,0
F1,9,5,53.652,166115,3096.16,360697,25434,4375,2,0
F1,9,5,57.218,166115,2903.19,360697,25434,4375,2,0
C1,9,-10,233.276,441235,1891.47,1887521,118709,25637,72,2
C1,9,-10,231.977,441235,1902.06,1887521,118709,25637,72,2
C1,9,-10,231.141,441235,1908.94,1887521,118709,25637,72,2

A5,9,32,279.206,542002,1941.23,2161463,153757,20011,61,9
A5,9,32,282.113,542002,1921.22,2161463,153757,20011,61,9
A5,9,32,278.689,542002,1944.83,2161463,153757,20011,61,9
F4,9,-37,338.915,930489,2745.49,2291236,169067,24274,108,10
F4,9,-37,339.762,930489,2738.65,2291236,169067,24274,108,10
F4,9,-37,338.172,930489,2751.53,2291236,169067,24274,108,10

E6,9,-10,129.817,315095,2427.22,974755,64640,11731,19,0
E6,9,-10,130.199,315095,2420.1,974755,64640,11731,19,0
E6,9,-10,141.019,315095,2234.42,974755,64640,11731,19,0
C3,9,6,233.942,538973,2303.87,1833477,105570,21117,59,1
C3,9,6,240.977,538973,2236.62,1833477,105570,21117,59,1
C3,9,6,246.799,538973,2183.85,1833477,105570,21117,59,1

C3,9,20,228.703,473051,2068.41,1753804,126460,19994,65,2
C3,9,20,242.912,473051,1947.42,1753804,126460,19994,65,2
C3,9,20,230.489,473051,2052.38,1753804,126460,19994,65,2
F1,9,-24,186.992,480246,2568.27,1437080,74767,12895,22,1
F1,9,-24,185.925,480246,2583.01,1437080,74767,12895,22,1
F1,9,-24,185.907,480246,2583.26,1437080,74767,12895,22,1

A8,9,-17,396.381,805055,2031.01,3133511,173880,21765,102,12
A8,9,-17,395.199,805055,2037.09,3133511,173880,21765,102,12
A8,9,-17,395.172,805055,2037.23,3133511,173880,21765,102,12
D6,9,12,380.65,841103,2209.65,2860730,187881,30162,126,23
D6,9,12,394.185,841103,2133.78,2860730,187881,30162,126,23
D6,9,12,379.842,841103,2214.35,2860730,187881,30162,126,23

E1,9,-11,151.053,373273,2471.14,1154815,75001,16507,26,5
E1,9,-11,150.172,373273,2485.64,1154815,75001,16507,26,5
E1,9,-11,149.619,373273,2494.82,1154815,75001,16507,26,5
E7,9,6,428.322,1030505,2405.91,3452588,167489,41223,163,13
E7,9,6,423.713,1030505,2432.08,3452588,167489,41223,163,13
E7,9,6,429.29,1030505,2400.49,3452588,167489,41223,163,13

C3,9,62,209.748,626707,2987.9,1423467,128259,20693,67,5
C3,9,62,208.558,626707,3004.95,1423467,128259,20693,67,5
C3,9,62,207.377,626707,3022.07,1423467,128259,20693,67,5
C1,9,-64,184.562,465872,2524.2,1400356,119316,23480,59,4
C1,9,-64,183.184,465872,2543.19,1400356,119316,23480,59,4
C1,9,-64,182.844,465872,2547.92,1400356,119316,23480,59,4

C5,9,3,726.55,1485732,2044.91,5621567,342576,93693,740,101
C5,9,3,700.348,1485732,2121.42,5621567,342576,93693,740,101
C5,9,3,695.144,1485732,2137.3,5621567,342576,93693,740,101
F6,9,-8,299.948,824972,2750.38,2327426,139225,24999,108,4
F6,9,-8,294.77,824972,2798.7,2327426,139225,24999,108,4
F6,9,-8,294.374,824972,2802.46,2327426,139225,24999,108,4

F8,9,59,317.076,562758,1774.84,2639408,204998,27060,139,23
F8,9,59,324.964,562758,1731.75,2639408,204998,27060,139,23
F8,9,59,314.576,562758,1788.94,2639408,204998,27060,139,23
E2,9,-64,86.93,356195,4097.49,525758,57338,5724,11,0
E2,9,-64,86.308,356195,4127.02,525758,57338,5724,11,0
E2,9,-64,85.909,356195,4146.19,525758,57338,5724,11,0

F4,9,-19,344.685,784983,2277.39,2669756,134947,29280,93,2
F4,9,-19,343.421,784983,2285.77,2669756,134947,29280,93,2
F4,9,-19,342.731,784983,2290.38,2669756,134947,29280,93,2
F3,9,16,178.125,415323,2331.64,1363968,88073,18884,33,2
F3,9,16,177.066,415323,2345.58,1363968,88073,18884,33,2
F3,9,16,176.552,415323,2352.41,1363968,88073,18884,33,2

F8,9,-49,26.969,106817,3960.73,195582,25494,3870,1,0
F8,9,-49,26.637,106817,4010.1,195582,25494,3870,1,0
F8,9,-49,26.491,106817,4032.2,195582,25494,3870,1,0
C6,9,39,25.879,86349,3336.64,196065,28757,4830,2,0
C6,9,39,25.323,86349,3409.9,196065,28757,4830,2,0
C6,9,39,25.076,86349,3443.49,196065,28757,4830,2,0

E1,9,-64,50.231,171681,3417.83,383344,33057,6087,6,0
E1,9,-64,49.889,171681,3441.26,383344,33057,6087,6,0
E1,9,-64,49.579,171681,3462.78,383344,33057,6087,6,0
F1,9,64,18.272,49303,2698.28,148535,16187,2810,0,0
F1,9,64,19.045,49303,2588.76,148535,16187,2810,0,0
F1,9,64,18.17,49303,2713.43,148535,16187,2810,0,0

D1,9,-53,14.672,46173,3147.01,113378,16359,2808,1,0
D1,9,-53,14.495,46173,3185.44,113378,16359,2808,1,0
D1,9,-53,14.397,46173,3207.13,113378,16359,2808,1,0
B1,9,47,8.132,31196,3836.2,58931,8200,1960,0,0
B1,9,47,8.06,31196,3870.47,58931,8200,1960,0,0
B1,9,47,7.989,31196,3904.87,58931,8200,1960,0,0

H4,9,-8,166.101,509372,3066.64,1259160,99098,22560,47,0
H4,9,-8,166.916,509372,3051.67,1259160,99098,22560,47,0
H4,9,-8,168.588,509372,3021.4,1259160,99098,22560,47,0
H6,9,-1,72.66,228589,3146.01,553622,55729,14077,17,1
H6,9,-1,71.926,228589,3178.11,553622,55729,14077,17,1
H6,9,-1,71.425,228589,3200.41,553622,55729,14077,17,1

C1,9,-64,8.776,27016,3078.4,67913,9209,2172,1,0
C1,9,-64,8.687,27016,3109.93,67913,9209,2172,1,0
C1,9,-64,8.619,27016,3134.47,67913,9209,2172,1,0
A1,9,64,6.368,20806,3267.27,47233,7145,1656,0,0
A1,9,64,6.354,20806,3274.47,47233,7145,1656,0,0
A1,9,64,6.246,20806,3331.09,47233,7145,1656,0,0

G7,16,0,505.025,5584113,11057.1,1300980,2960365,837700,57874,56346
G7,16,0,489.066,5584113,11417.9,1300980,2960365,837700,57874,56346
G7,16,0,487.473,5584113,11455.2,1300980,2960365,837700,57874,56346
B7,16,0,69.514,790343,11369.6,205902,438000,88898,1109,211
B7,16,0,64.93,790343,12172.2,205902,438000,88898,1109,211
B7,16,0,63.221,790343,12501.3,205902,438000,88898,1109,211

D1,16,10,2576.54,29800423,11566.1,6420513,11382314,4541696,1213138,3642918
D1,16,10,2606.81,29800423,11431.7,6420513,11382314,4541696,1213138,3642918
D1,16,10,2583.31,29800423,11535.7,6420513,11382314,4541696,1213138,3642918
B1,16,-10,167.894,1783511,10622.8,401652,944230,282820,6118,1910
B1,16,-10,175.756,1783511,10147.7,401652,944230,282820,6118,1910
B1,16,-10,166.089,1783511,10738.3,401652,944230,282820,6118,1910

A8,16,30,65.957,743341,11270.1,221920,387876,55907,533,123
A8,16,30,65.288,743341,11385.6,221920,387876,55907,533,123
A8,16,30,62.36,743341,11920.2,221920,387876,55907,533,123
G1,16,-30,7.658,85938,11222,25717,47132,5217,8,0
G1,16,-30,7.149,85938,12021,25717,47132,5217,8,0
G1,16,-30,6.898,85938,12458.4,25717,47132,5217,8,0

A1,16,-8,15.593,158050,10136,48806,90444,9586,30,1
A1,16,-8,14.308,158050,11046.3,48806,90444,9586,30,1
A1,16,-8,13.745,158050,11498.7,48806,90444,9586,30,1
B1,16,8,3.706,36777,9923.64,10935,21575,2306,0,0
B1,16,8,3.681,36777,9991.04,10935,21575,2306,0,0
B1,16,8,3.224,36777,11407.3,10935,21575,2306,0,0

C2,16,28,38.263,428736,11205,103458,230195,48060,277,31
C2,16,28,35.928,428736,11933.2,103458,230195,48060,277,31
C2,16,28,34.938,428736,12271.3,103458,230195,48060,277,31
C1,16,-28,21.523,242769,11279.5,60263,128874,25301,83,5
C1,16,-28,20.015,242769,12129.4,60263,128874,25301,83,5
C1,16,-28,19.402,242769,12512.6,60263,128874,25301,83,5

